Id,Expected
12373510,875000.0
12422623,355000.0
12377408,440000.0
12420093,425000.0
12417338,265000.0
12322549,370000.0
12394530,350000.0
12392544,1550000.0
12379544,295000.0
12402318,585000.0
12408810,320000.0
12322454,240000.0
12238466,1750000.0
12388506,695000.0
12419458,285000.0
12379907,270000.0
12393144,290000.0
12288342,995000.0
12282882,295000.0
12355961,325000.0
12419375,485000.0
12402650,475000.0
12303324,495000.0
12402195,545000.0
12268727,750000.0
12392968,1300000.0
11685896,495000.0
12289847,275000.0
12389608,475000.0
12358125,325000.0
12417270,165000.0
12426859,260000.0
12378305,250000.0
12415997,259000.0
12064946,595000.0
12219606,1475000.0
12392176,295000.0
12222695,595000.0
12383622,350000.0
12406210,375000.0
12259512,300000.0
11975671,345000.0
12319073,545000.0
12396251,250000.0
12366497,250000.0
12170365,550000.0
12347914,290000.0
12374493,275000.0
12398691,270000.0
12416324,1100000.0
12357471,975000.0
12420869,625000.0
12046807,850000.0
12377854,269000.0
12427294,650000.0
12368051,250000.0
12382734,340000.0
12383974,270000.0
12384878,205000.0
12414279,160000.0
12414724,1050000.0
12313708,1350000.0
12118937,695000.0
11490854,220000.0
12165854,525000.0
12387219,275000.0
12347439,595000.0
12092890,1495000.0
12220726,350000.0
12388158,720000.0
12232307,795000.0
12404529,295000.0
12300395,298000.0
12314471,255000.0
12277968,1400000.0
12275869,725000.0
12384165,294950.0
12393388,335000.0
12322832,350000.0
12412821,245000.0
12388948,300000.0
12373809,495000.0
12407049,495000.0
12383680,2950000.0
12243993,2375000.0
12264484,269950.0
12408396,369000.0
12412824,175000.0
12154099,335000.0
12393390,85000.0
12414574,540000.0
12402118,1200000.0
12387187,325000.0
12085619,520000.0
12339814,535000.0
12423545,825000.0
12404294,275000.0
12389607,575000.0
12426862,245000.0
11684589,310000.0
12268641,1700000.0
12385568,220000.0
12406185,750000.0
12334993,1295000.0
12385418,205000.0
12388725,795000.0
12423839,495000.0
12298960,245000.0
12281348,695000.0
12220398,495000.0
12418528,277500.0
12092469,2200000.0
12313718,550000.0
12418865,275000.0
12359285,945000.0
12326540,269950.0
12380208,569950.0
12377588,180000.0
12333726,450000.0
12143351,369000.0
12336068,565000.0
12146408,725000.0
12405490,245000.0
12412528,850000.0
12292211,245000.0
